name,latitude,longitude,currentValue,currentValueTime,location
Bristol Harbour Passage Street,51.454115,-2.58666,0.126,2017-02-28T16:00:00+00:00,"51.454115, -2.58666"
Colliters Brook,51.4277166827006,-2.63390326032455,0.34,2017-03-01T04:00:00+00:00,"51.4277166827, -2.63390326032"
Eastville,51.4703334881663,-2.56609383841676,7.853,2017-03-01T04:00:00+00:00,"51.4703334882, -2.56609383842"
Bristol Harbour Passage Street,51.454115,-2.58666,0.095,2017-03-03T04:00:00+00:00,"51.454115, -2.58666"
Colliters Brook,51.4277166827006,-2.63390326032455,0.179,2017-03-03T04:00:00+00:00,"51.4277166827, -2.63390326032"
Eastville,51.4703334881663,-2.56609383841676,7.765,2017-03-03T07:15:00+00:00,"51.4703334882, -2.56609383842"
Eastville,51.4703334881663,-2.56609383841676,7.762,2017-03-03T12:45:00+00:00,"51.4703334882, -2.56609383842"
Colliters Brook,51.4277166827006,-2.63390326032455,0.362,2017-03-03T12:45:00+00:00,"51.4277166827, -2.63390326032"
Netham Weir,51.4510374949693,-2.55480284730805,0.539,2017-03-03T16:00:00+00:00,"51.451037495, -2.55480284731"
Bristol Harbour Passage Street,51.454115,-2.58666,0.100000000000001,2017-03-03T17:45:00+00:00,"51.454115, -2.58666"
Netham Weir,51.4510374949693,-2.55480284730805,0.544,2017-03-03T17:45:00+00:00,"51.451037495, -2.55480284731"
Bristol Harbour Passage Street,51.454115,-2.58666,0.097,2017-03-04T16:00:00+00:00,"51.454115, -2.58666"
